uniprot_id,SEP_PC,SEP_NC,SEP_NE,SEP_PO,SEP_NP,SEP_AL,SEP_CY,SEP_AR,SEP_AC,SEP_BS,SEP_NE_pH,SEP_HB,SEP_HL,SEP_NT,SEP_HX,SEP_SC,SEP_TN,SEP_SM,SEP_LR
P01990,0.176056338028169,0.0915492957746478,0.7323943661971831,0.1830985915492957,0.528169014084507,0.4577464788732394,0.028169014084507,0.0845070422535211,0.0915492957746478,0.176056338028169,0.7323943661971831,0.5422535211267606,0.2253521126760563,0.2887323943661972,0.1126760563380281,0.028169014084507,0.2605633802816901,0.5211267605633803,0.4788732394366197
P02118,0.1575342465753424,0.0890410958904109,0.7534246575342466,0.1575342465753424,0.547945205479452,0.4589041095890411,0.0342465753424657,0.0958904109589041,0.0890410958904109,0.1575342465753424,0.7534246575342466,0.5547945205479452,0.2397260273972602,0.2671232876712329,0.0890410958904109,0.0273972602739726,0.2397260273972602,0.4931506849315068,0.5068493150684932
P00929,0.1044776119402985,0.1082089552238805,0.7873134328358209,0.1604477611940298,0.585820895522388,0.5223880597014925,0.0634328358208955,0.0708955223880597,0.1082089552238805,0.1044776119402985,0.7873134328358209,0.5485074626865671,0.208955223880597,0.3059701492537313,0.085820895522388,0.0298507462686567,0.2947761194029851,0.5373134328358209,0.4626865671641791
P0A2K1,0.1284634760705289,0.1158690176322418,0.7556675062972292,0.1889168765743073,0.5390428211586902,0.4659949622166247,0.0453400503778337,0.0654911838790932,0.1158690176322418,0.1284634760705289,0.7556675062972292,0.4962216624685138,0.2015113350125944,0.3702770780856423,0.1032745591939546,0.0503778337531486,0.2795969773299748,0.4987405541561713,0.5012594458438288
P69905,0.1690140845070422,0.0845070422535211,0.7464788732394366,0.176056338028169,0.5422535211267606,0.4647887323943662,0.0492957746478873,0.0774647887323943,0.0845070422535211,0.1690140845070422,0.7464788732394366,0.5633802816901409,0.2464788732394366,0.2816901408450704,0.1408450704225352,0.028169014084507,0.2816901408450704,0.5704225352112676,0.4295774647887324
P68871,0.1564625850340136,0.1020408163265306,0.7414965986394558,0.1360544217687075,0.564625850340136,0.4829931972789115,0.0476190476190476,0.0884353741496598,0.1020408163265306,0.1564625850340136,0.7414965986394558,0.5374149659863946,0.2448979591836734,0.2925170068027211,0.0816326530612244,0.0272108843537414,0.238095238095238,0.54421768707483,0.4557823129251701
Q07960,0.1366742596810934,0.1252847380410023,0.7380410022779044,0.2209567198177676,0.4760820045558087,0.4031890660592255,0.0797266514806378,0.0979498861047836,0.1252847380410023,0.1366742596810934,0.7380410022779044,0.5034168564920274,0.2574031890660592,0.3325740318906606,0.1184510250569476,0.0182232346241457,0.1457858769931662,0.44874715261959,0.55125284738041
P60953,0.1308900523560209,0.1256544502617801,0.743455497382199,0.2356020942408377,0.4816753926701571,0.4240837696335078,0.0785340314136125,0.0837696335078534,0.1256544502617801,0.1308900523560209,0.743455497382199,0.5497382198952879,0.2356020942408377,0.3403141361256545,0.1361256544502617,0.0418848167539267,0.1884816753926701,0.5340314136125655,0.4659685863874345
P98002,0.086021505376344,0.053763440860215,0.8602150537634409,0.1810035842293906,0.6505376344086021,0.478494623655914,0.0555555555555555,0.1666666666666666,0.053763440860215,0.086021505376344,0.8602150537634409,0.6129032258064516,0.1702508960573476,0.2795698924731182,0.1039426523297491,0.060931899641577,0.2419354838709677,0.4856630824372759,0.514336917562724
P08306,0.0838926174496644,0.1006711409395973,0.8154362416107382,0.1711409395973154,0.6140939597315436,0.5234899328859061,0.0671140939597315,0.0973154362416107,0.1006711409395973,0.0838926174496644,0.8154362416107382,0.6140939597315436,0.1812080536912751,0.2785234899328859,0.0838926174496644,0.0402684563758389,0.2416107382550335,0.5469798657718121,0.4530201342281879
